,Method,Relative Error (%),Iter
0,Double Model Lasso Matching Mean,278.4036576713544,0
1,Double Model Lasso Matching Mean,303.13878225764086,0
2,Double Model Lasso Matching Mean,118.26562803710361,0
3,Double Model Lasso Matching Mean,127.98008758256006,0
4,Double Model Lasso Matching Mean,241.30672966791877,0
5,Double Model Lasso Matching Mean,183.64865852046628,0
6,Double Model Lasso Matching Mean,108.97779924233298,0
7,Double Model Lasso Matching Mean,123.10785523670091,0
8,Double Model Lasso Matching Mean,57.051013038374734,0
9,Double Model Lasso Matching Mean,308.67122054088895,0
10,Double Model Lasso Matching Mean,25.15937790892655,0
11,Double Model Lasso Matching Mean,40.76576738282051,0
12,Double Model Lasso Matching Mean,285.68760980457444,0
13,Double Model Lasso Matching Mean,0.9339944280657064,0
14,Double Model Lasso Matching Mean,44.29506313191461,0
15,Double Model Lasso Matching Mean,301.0643217282333,0
16,Double Model Lasso Matching Mean,106.21337727797567,0
17,Double Model Lasso Matching Mean,170.34152549993695,0
18,Double Model Lasso Matching Mean,98.94753776321438,0
19,Double Model Lasso Matching Mean,313.06261290641055,0
20,Double Model Lasso Matching Mean,177.4785628292029,0
21,Double Model Lasso Matching Mean,120.70629913020952,0
22,Double Model Lasso Matching Mean,88.73147954177333,0
23,Double Model Lasso Matching Mean,116.08345065522931,0
24,Double Model Lasso Matching Mean,121.34791294512739,0
25,Double Model Lasso Matching Mean,228.9167897107605,0
26,Double Model Lasso Matching Mean,29.968897889704316,0
27,Double Model Lasso Matching Mean,108.80767718986387,0
28,Double Model Lasso Matching Mean,638.4853309880642,0
29,Double Model Lasso Matching Mean,103.17571002678332,0
30,Double Model Lasso Matching Mean,71.4270365801593,0
31,Double Model Lasso Matching Mean,104.37730797420937,0
32,Double Model Lasso Matching Mean,36.379423559862,0
33,Double Model Lasso Matching Mean,30.699353936739026,0
34,Double Model Lasso Matching Mean,3.641395715880043,0
35,Double Model Lasso Matching Mean,58.39066627394535,0
36,Double Model Lasso Matching Mean,754.782407623842,0
37,Double Model Lasso Matching Mean,247.32672142730624,0
