,0,avg
Double Model Lasso Matching Mean,0.21428394317626953,0.21428394317626953
Single Model Lasso Matching Mean,0.11536431312561035,0.11536431312561035
MALTS Matching Mean,22.498196840286255,22.498196840286255
Manhatten Matching Mean,0.02490520477294922,0.02490520477294922
Manhatten Matching Mean Pruned,0.1156928539276123,0.1156928539276123
Propensity Score Matching,0.17312121391296387,0.17312121391296387
Linear Prognostic Score Matching,0.06430411338806152,0.06430411338806152
Random Forest Prognostic Score Matching,0.3717000484466553,0.3717000484466553
BART,5.956863164901733,5.956863164901733
Causal Forest,0.5399050712585449,0.5399050712585449
